Date,Time,Open,High,Low,Close,Vol,OI
08/18/2011,17:00:00,1053.75,1054.25,992.5,1007.75,3809916,3363879
08/19/2011,17:00:00,1008.0,1017.5,981.75,988.25,3583223,3390307
08/22/2011,17:00:00,986.25,1010.75,975.5,987.5,2714560,3396068
08/23/2011,17:00:00,987.75,1025.0,982.75,1022.75,3338118,3371817
08/24/2011,17:00:00,1023.25,1041.0,1006.75,1036.25,2616278,3395461
08/25/2011,17:00:00,1035.75,1052.75,1017.25,1021.75,3198280,3429011
08/26/2011,17:00:00,1021.25,1044.0,997.0,1040.25,3053686,3452313
08/29/2011,17:00:00,1039.75,1073.0,1036.5,1072.25,1832857,3471251
08/30/2011,17:00:00,1072.25,1083.0,1057.75,1069.0,2576230,3467846
08/31/2011,17:00:00,1068.5,1094.0,1065.5,1082.0,3159833,3451099
09/01/2011,17:00:00,1082.0,1092.75,1065.0,1065.5,2656315,3435920
09/02/2011,17:00:00,1065.25,1067.5,1032.75,1033.5,2427798,3528629
09/06/2011,17:00:00,1007.25,1031.0,1000.25,1028.75,3522564,3594453
09/07/2011,17:00:00,1028.75,1064.0,1028.0,1063.25,2595150,3415957
09/08/2011,17:00:00,1063.75,1068.0,1046.25,1050.0,1326103,831091
09/09/2011,17:00:00,1050.0,1058.25,1011.0,1022.25,3165441,1392352
09/12/2011,17:00:00,1006.0,1028.0,993.5,1027.25,3612118,1887934
09/13/2011,17:00:00,1026.75,1040.5,1009.0,1035.25,3694565,2407037
09/14/2011,17:00:00,1035.5,1066.25,1018.0,1052.25,3552069,2754383
09/15/2011,17:00:00,1052.25,1075.5,1045.75,1074.25,3024123,2883574
09/16/2011,17:00:00,1073.0,1084.5,1064.75,1081.75,2661191,2930734
09/19/2011,17:00:00,1069.25,1073.75,1051.5,1067.75,2446620,2897053
09/20/2011,17:00:00,1066.75,1084.5,1055.25,1066.0,2614553,2918960
09/21/2011,17:00:00,1066.75,1073.75,1025.0,1025.75,3254771,2936112
09/22/2011,17:00:00,1025.25,1029.0,976.75,993.5,4741905,3081477
09/23/2011,17:00:00,994.25,1008.5,972.0,999.75,3365634,3067211
09/26/2011,17:00:00,992.0,1029.0,985.0,1028.5,3089036,3062794
09/27/2011,17:00:00,1027.5,1060.0,1025.0,1039.5,3258954,2974168
09/28/2011,17:00:00,1039.0,1051.75,1013.5,1018.75,2802438,2976156
09/29/2011,17:00:00,1018.25,1040.75,1003.5,1026.25,2975702,2956018
09/30/2011,17:00:00,1027.25,1029.75,991.5,996.0,2980938,3006367
10/03/2011,17:00:00,993.0,1003.5,955.25,956.25,3504183,3115740
10/04/2011,17:00:00,957.5,989.75,938.0,983.5,4190407,3139609
10/05/2011,17:00:00,984.5,1011.25,976.5,1005.0,3039981,3115881
10/06/2011,17:00:00,1005.0,1030.5,999.0,1027.5,2903759,3116403
10/07/2011,17:00:00,1027.25,1043.75,1014.75,1025.0,2865466,3053178
10/10/2011,17:00:00,1027.75,1062.25,1026.5,1061.0,1776333,2994500
10/11/2011,17:00:00,1060.5,1064.75,1050.75,1059.5,1953734,3007577
10/12/2011,17:00:00,1057.5,1086.0,1050.75,1068.25,2559219,2990284
10/13/2011,17:00:00,1068.5,1074.25,1055.25,1068.0,2316227,2954661
10/14/2011,17:00:00,1067.5,1091.5,1063.0,1089.25,2244214,3021872
10/17/2011,17:00:00,1088.25,1100.75,1063.5,1064.0,2385603,3004602
10/18/2011,17:00:00,1064.0,1099.75,1055.5,1093.0,2978540,2994319
10/19/2011,17:00:00,1092.75,1097.25,1071.5,1076.5,2430802,2987028
10/20/2011,17:00:00,1076.75,1086.25,1062.5,1080.0,2898123,2976324
10/21/2011,17:00:00,1078.75,1105.75,1078.0,1105.25,2115010,2992779
10/24/2011,17:00:00,1099.75,1122.5,1096.75,1117.0,2006311,2984444
10/25/2011,17:00:00,1117.0,1124.5,1092.25,1094.5,2635786,2994122
10/26/2011,17:00:00,1095.0,1112.5,1086.5,1107.5,2697660,2985716
10/27/2011,17:00:00,1108.0,1159.25,1107.5,1152.5,3324091,2916640
10/28/2011,17:00:00,1152.25,1154.25,1142.75,1151.0,1932702,2839103
10/31/2011,17:00:00,1150.0,1150.75,1115.25,1119.25,2239270,2839145
11/01/2011,17:00:00,1119.25,1119.25,1078.5,1094.5,3666184,2872959
11/02/2011,17:00:00,1093.5,1108.75,1086.5,1104.25,2264238,2810930
11/03/2011,17:00:00,1104.25,1129.75,1083.5,1125.75,2822923,2799002
11/04/2011,17:00:00,1125.75,1128.75,1104.5,1121.0,2243027,2832228
11/07/2011,17:00:00,1123.25,1129.5,1102.0,1127.5,1982159,2841443
11/08/2011,17:00:00,1127.5,1145.25,1118.5,1143.25,2241483,2870177
11/09/2011,17:00:00,1143.25,1144.0,1092.75,1095.5,3248837,2886130
11/10/2011,17:00:00,1096.0,1115.0,1088.25,1107.5,2584328,2878090
11/11/2011,17:00:00,1107.5,1134.75,1103.75,1131.5,1603127,2910203
11/14/2011,17:00:00,1134.25,1140.75,1113.5,1122.5,1889071,2924794
11/15/2011,17:00:00,1121.5,1132.25,1104.0,1124.0,2243400,2924905
