Date,Time,Open,High,Low,Close,Up,Down
10/20/2008,17:00,755.75,811.0,743.75,806.0,1236439,1201568
10/21/2008,17:00,806.25,808.5,767.25,770.0,1287985,1355580
10/22/2008,17:00,785.75,787.5,690.75,724.25,1558555,1694553
10/23/2008,17:00,726.5,741.5,674.25,734.25,2036893,2012474
10/24/2008,17:00,732.0,735.5,658.5,686.25,1627282,1671055
10/27/2008,17:00,682.5,712.25,643.25,655.75,1460633,1473908
10/28/2008,17:00,654.0,761.0,645.5,751.25,1939829,1797154
10/29/2008,17:00,753.75,789.5,732.5,750.25,1588603,1635299
10/30/2008,17:00,750.5,786.75,745.0,777.0,1455677,1462421
10/31/2008,17:00,776.25,802.25,758.25,784.75,1392845,1347042
11/03/2008,17:00,784.0,798.0,775.25,787.0,767502,749498
11/04/2008,17:00,787.5,825.0,782.25,819.25,1170842,1152632
11/05/2008,17:00,819.75,826.75,764.25,765.0,1323228,1423073
11/06/2008,17:00,764.25,776.25,715.25,725.75,1663351,1829249
11/07/2008,17:00,723.75,755.75,719.25,755.5,1358717,1315196
11/10/2008,17:00,759.25,780.75,723.75,739.0,1042874,1091571
11/11/2008,17:00,740.5,745.5,701.0,711.75,1299564,1364675
11/12/2008,17:00,711.75,729.25,665.75,666.5,1439593,1564599
11/13/2008,17:00,662.25,732.0,635.0,724.75,2250097,2182581
11/14/2008,17:00,726.25,736.25,678.5,678.75,1667998,1684071
11/17/2008,17:00,680.25,700.0,665.25,666.75,1373969,1424213
11/18/2008,17:00,667.5,687.25,643.0,683.25,1646361,1625247
11/19/2008,17:00,680.5,684.25,622.5,627.0,1658529,1759616
11/20/2008,17:00,628.0,639.0,563.25,571.75,2171419,2297878
11/21/2008,17:00,569.0,620.5,557.25,609.25,2168609,2120902
11/24/2008,17:00,619.25,684.5,601.5,663.5,1733935,1670358
11/25/2008,17:00,665.25,692.25,651.75,670.5,1549053,1546593
11/26/2008,17:00,666.75,706.0,647.75,703.5,1109639,1062343
11/27/2008,17:00,702.75,708.0,693.25,707.5,43869,42260
11/28/2008,17:00,707.5,715.25,694.5,713.0,420998,377400
12/01/2008,17:00,715.75,715.75,631.25,634.5,1254860,1383554
12/02/2008,17:00,633.5,670.25,631.5,667.25,1622370,1562263
12/03/2008,17:00,665.25,692.0,644.25,686.75,1662605,1637693
12/04/2008,17:00,684.75,693.75,650.25,666.5,1378235,1430518
12/05/2008,17:00,664.5,697.75,635.25,690.0,1601325,1570029
12/08/2008,17:00,690.5,737.5,685.75,718.0,1319423,1281230
12/09/2008,17:00,716.75,734.5,702.75,709.0,1235801,1262581
12/10/2008,17:00,710.0,727.0,702.75,714.0,1130781,1146103
12/11/2008,17:00,712.75,723.25,678.5,683.25,703258,733443
12/12/2008,17:00,677.0,705.25,647.5,704.0,1208170,1193600
12/15/2008,17:00,702.25,711.75,675.0,691.75,869797,888023
12/16/2008,17:00,691.0,733.75,687.25,731.25,1167355,1060898
12/17/2008,17:00,730.25,737.0,705.5,724.0,979878,1004327
12/18/2008,17:00,722.0,730.25,692.25,707.25,922704,937455
12/19/2008,17:00,708.0,722.25,695.25,700.0,892512,912574
12/22/2008,17:00,703.0,710.25,671.5,690.0,575918,604308
12/23/2008,17:00,688.0,696.75,674.0,678.0,484745,505887
12/24/2008,17:00,677.25,685.25,674.75,683.5,124950,110884
12/26/2008,17:00,685.25,690.5,681.5,688.5,100333,98316
12/29/2008,17:00,687.75,692.25,672.0,689.5,307871,309746
12/30/2008,17:00,689.0,708.5,687.5,708.25,410461,367796
12/31/2008,17:00,708.5,726.75,705.25,710.75,467809,439895
01/02/2009,17:00,718.75,751.5,715.25,744.75,583420,511731
01/05/2009,17:00,743.5,753.0,735.25,744.5,796034,813129
01/06/2009,17:00,745.0,761.5,742.25,747.0,964750,942824
01/07/2009,17:00,747.25,750.5,717.5,726.0,937807,1020048
01/08/2009,17:00,724.75,726.5,710.25,724.75,884726,882530
01/09/2009,17:00,725.75,733.5,701.5,704.0,980943,1064344
01/12/2009,17:00,703.75,704.25,679.0,688.5,787365,872484
01/13/2009,17:00,689.0,692.75,675.75,685.75,1114510,1160551
01/14/2009,17:00,687.5,693.75,651.25,657.0,1313729,1437671
01/15/2009,17:00,652.0,667.25,631.5,660.0,1679231,1734059
01/16/2009,17:00,661.5,676.5,645.0,668.0,1381573,1415570
01/19/2009,17:00,670.5,684.5,653.25,658.75,82902,92469
01/20/2009,17:00,658.75,666.0,616.25,623.5,1268908,1397916
01/21/2009,17:00,623.5,661.5,619.25,658.0,1459901,1398007
01/22/2009,17:00,659.0,662.75,626.25,642.75,1505097,1523126
01/23/2009,17:00,643.75,654.75,618.25,642.25,1312263,1274391
01/26/2009,17:00,642.25,668.25,629.5,652.5,1132515,1123116
01/27/2009,17:00,652.5,666.25,650.0,661.5,959837,969470
01/28/2009,17:00,667.25,694.75,667.0,689.5,1199742,1079877
01/29/2009,17:00,689.25,690.25,659.0,662.5,978141,1064064
01/30/2009,17:00,661.5,667.75,636.25,644.5,1191761,1261664
02/02/2009,17:00,642.5,646.25,625.0,639.75,983651,977077
02/03/2009,17:00,639.75,658.5,634.75,650.0,1072440,1021310
02/04/2009,17:00,651.75,668.25,643.25,644.0,1083137,1118462
02/05/2009,17:00,643.75,667.75,635.5,660.0,1332474,1275705
02/06/2009,17:00,659.25,688.0,655.5,686.75,1250911,1154835
02/09/2009,17:00,686.75,691.75,671.5,680.25,882671,879317
02/10/2009,17:00,681.0,684.75,638.25,646.25,1523733,1674758
02/11/2009,17:00,646.25,655.0,638.25,652.0,1150321,1122058
02/12/2009,17:00,651.0,655.5,624.25,654.0,1600886,1593725
02/13/2009,17:00,653.25,659.25,637.5,638.75,1000484,1017320
02/16/2009,17:00,632.75,637.5,627.0,627.5,58416,57330
02/17/2009,17:00,628.0,631.0,604.25,605.0,1378301,1506147
02/18/2009,17:00,605.75,615.0,595.25,596.75,1329241,1394371
02/19/2009,17:00,596.5,615.5,593.75,596.25,1167448,1225809
02/20/2009,17:00,596.5,598.25,571.25,588.75,1529899,1596231
02/23/2009,17:00,588.75,605.25,558.5,563.25,1280927,1449695
02/24/2009,17:00,564.75,593.5,562.25,587.75,1428344,1304365
02/25/2009,17:00,589.5,598.25,570.0,580.5,1567112,1604323
02/26/2009,17:00,583.0,597.75,569.0,570.5,1189530,1285104
02/27/2009,17:00,570.25,574.75,548.25,551.75,1485845,1511574
03/02/2009,17:00,550.0,552.5,517.5,523.75,1405453,1470690
03/03/2009,17:00,523.75,534.0,500.25,504.5,1504978,1605363
03/04/2009,17:00,504.75,542.5,504.25,528.5,1580208,1548749
03/05/2009,17:00,528.75,530.5,495.0,505.75,1602076,1679110
03/06/2009,17:00,506.25,518.0,484.5,507.25,1615435,1625543
03/09/2009,17:00,507.5,513.5,489.5,492.75,1332038,1340105
03/10/2009,17:00,493.0,540.5,492.25,535.75,1636475,1505658
03/11/2009,17:00,535.25,551.25,530.75,539.25,1429500,1410126
03/12/2009,17:00,539.75,572.0,530.0,568.75,948314,860239
03/13/2009,17:00,568.25,580.25,561.0,577.0,1168377,1095011
03/16/2009,17:00,572.75,593.5,568.25,575.5,1177047,1208383
03/17/2009,17:00,575.25,599.0,568.0,598.0,1245745,1141766
03/18/2009,17:00,597.5,622.5,583.75,613.75,1544995,1500123
03/19/2009,17:00,613.0,623.5,599.25,600.75,1228439,1280636
03/20/2009,17:00,599.0,607.5,583.5,585.75,1138094,1213200
03/23/2009,17:00,588.75,643.0,587.5,640.5,1544509,1377877
03/24/2009,17:00,640.75,642.0,623.25,624.75,1164477,1251737
03/25/2009,17:00,624.5,645.5,609.0,632.25,1532255,1571151
03/26/2009,17:00,633.5,652.5,632.25,649.0,1385520,1340295
03/27/2009,17:00,650.5,652.0,631.5,637.5,1080405,1120166
03/30/2009,17:00,634.5,637.25,597.5,608.25,1075767,1190760
03/31/2009,17:00,607.0,629.0,606.0,611.0,1358514,1332209
04/01/2009,17:00,608.75,632.25,601.0,631.0,1327811,1271943
04/02/2009,17:00,632.0,664.25,629.25,658.0,1528345,1457267
04/03/2009,17:00,658.25,666.5,644.75,662.75,1085061,1075013
04/06/2009,17:00,662.0,670.0,640.75,654.25,987370,1011348
